,topic,topic_id,bias_id,title,source,bias,desc.,nlp sentiment
0,coronavirus- Lean Left,1,1,Pfizer Will Allow Its Covid Pill to Be Made and Sold Cheaply in Poor Countries,New York Times (News), Lean Left,Pfizer announced a deal on Tuesday to allow its promising Covid-19 treatment to be made and sold inexpensively in 95 poorer nations that are home to more than...,Negative
1,coronavirus- Lean Right,1,4,CDC: No Record of Naturally Immune Transmitting COVID-19,The Epoch Times, Lean Right,The Centers for Disease Control and Prevention (CDC) says that it has no record of people who are naturally immune transmitting the virus that causes COVID-19...,Negative
2,coronavirus - moderate,1,3,COVID-19 Update: Almost Every Case Worldwide Emerges From Delta Strain,International Business Times,moderate,"First detected in India in late 2020, the COVID-19 variant known as Delta now accounts for almost every infection globally, the World Health Organization...",Positive
3,coronavirus- Lean Left,1,1,"Federal appeals court halts Biden administration’s vaccine requirement, delivering policy a major blow",Washington Post, Lean Left,"A federal appeals court in New Orleans has halted the Biden administration’s vaccine or testing requirement for private businesses, delivering another...",Negative
4,coronavirus- Right,1,5,Pfizer Announces Deal To Provide COVID Pill To Low-Income Countries,The Daily Wire, Right,"In an agreement announced on Tuesday, Pfizer will permit its COVID-19 pill treatment to be manufactured and sold in countries that might not be able to...",Positive
5,coronavirus - moderate,1,3,Pfizer agrees to let other companies make its COVID-19 pill,Associated Press,moderate,"Drugmaker Pfizer Inc. has signed a deal with a U.N.-backed group to allow other manufacturers to make its experimental COVID-19 pill, a move that could make...",Positive
6,coronavirus- Lean Left,1,1,Is this the fifth COVID-19 wave? Experts fear we may simply come to call it 'winter',USA TODAY, Lean Left,"For the first time in two months, COVID-19 case counts and deaths are rising again in most U.S. states, especially in the northern tier and Rocky Mountains,...",Negative
7,coronavirus- Right,1,5,How COVID Lockdowns Handed Global Warming Extremists The Tools To Crush Freedom,The Federalist, Right,"We’ve rolled out the blueprint for a society that is nominally free, but willing to throw freedom away in a crisis.

The Glasgow Climate Conference wrapped...",Positive
8,coronavirus - moderate,1,3,Pfizer to Allow Generic Drugmakers to Manufacture COVID-19 Antiviral Pill,AllSides Headline Roundup,moderate,Pharmaceutical company Pfizer announced Tuesday that it would allow generic drug companies around the world to produce its COVID-19 antiviral pill by granting...,Positive
9,coronavirus- Lean Left,1,1,A record number of Americans quit their jobs in September,CNN Business, Lean Left,A record 4.4 million Americans quit their jobs in September as the sheer volume of available jobs is empowering workers to have their pick....,Positive
10,coronavirus- Lean Right,1,4,Why COVID-19 is spiking in highly vaccinated states,Deseret News, Lean Right,"The coronavirus pandemic is still going. And as we head into the winter months, there are a number of questions about what might happen in states...",Negative
11,coronavirus - moderate,1,3,8 lingering questions about the new Covid pills from Merck and Pfizer,STAT,moderate,The past two months have brought extremely good news in the fight against Covid-19. Two different oral treatments have proved effective at both preventing...,Positive
12,coronavirus- Lean Left,1,1,I wasn’t sure about getting my kids COVID vaccines — until they exposed Grandma to the virus,The Philadelphia Inquirer, Lean Left,"Frantically, I shot out of bed. My stomach was in knots, as it often was during those first few months of motherhood. My imagination on overdrive, I braced for...",Negative
13,coronavirus- Lean Right,1,4,Jobs vs. jabs: Federal court upholds stay on Biden’s ‘sledgehammer’ vaccine mandate,Deseret News, Lean Right,"A federal appeals court late Friday upheld its stay of the Biden administration’s vaccine mandate for larger businesses, saying it leaves workers with a choice...",Positive
14,coronavirus - moderate,1,3,"Dr. Fauci troubled by political divide over Covid science, says it’s hampered pandemic response",CNBC,moderate,Chief White House medical advisor Dr. Anthony Fauci said in a new interview that there is a “very disconcerting” politically partisan divide over science in...,Positive
15,vaccine-mandates- Lean Left,2,1,"Federal appeals court halts Biden administration’s vaccine requirement, delivering policy a major blow",Washington Post, Lean Left,"A federal appeals court in New Orleans has halted the Biden administration’s vaccine or testing requirement for private businesses, delivering another...",Negative
16,vaccine-mandates- Lean Right,2,4,Jobs vs. jabs: Federal court upholds stay on Biden’s ‘sledgehammer’ vaccine mandate,Deseret News, Lean Right,"A federal appeals court late Friday upheld its stay of the Biden administration’s vaccine mandate for larger businesses, saying it leaves workers with a choice...",Positive
17,vaccine-mandates - moderate,2,3,U.S. appeals court affirms hold on Biden COVID-19 vaccine mandate,Reuters,moderate,A U.S. appeals court on Friday affirmed its decision to put on hold an order by President Joe Biden for companies with 100 workers or more to require COVID-19...,Positive
18,vaccine-mandates- Left,2,2,"No, Workers Aren’t Striking Because of Vaccine Mandates",Jacobin, Left,There’s a meme traveling around conservative media that vaccine mandates are the cause of the ongoing strike wave. Although you certainly can find news stories...,Negative
19,vaccine-mandates- Lean Right,2,4,Senior NIH Doctor Pushes Back on COVID-19 Vaccine Mandates,The Epoch Times, Lean Right,"A top infectious disease doctor has raised alarm about COVID-19 vaccine mandates despite top federal officials recommending them for businesses,...",Positive
20,vaccine-mandates - moderate,2,3,"Oklahoma Guard goes rogue, rejects COVID vaccine mandate after sudden change of command",Military Times,moderate,The new commander of the Oklahoma National Guard has declared the organization will not enforce the Defense Department’s COVID-19 vaccine mandate on its troops...,Positive
21,vaccine-mandates- Left,2,2,DOJ asks federal appeals court to lift temporary order blocking Covid-19 vaccine mandate,CNN (Online News), Left,The Department of Justice argued Monday night against a more permanent block of the Biden administration's Covid-19 vaccine mandate in a filing to...,Positive
22,vaccine-mandates- Lean Right,2,4,VA: Religious Exemption Requests for Vaccine Won't Be Challenged,Newsmax (News), Lean Right,"The Department of Veteran Affairs (VA) will not challenge staff on religious exemption requests for the coronavirus vaccine, the Washington Examiner ...",Positive
23,vaccine-mandates - moderate,2,3,Ten states sue Biden administration over COVID-19 vaccine mandate for U.S. health workers,Reuters,moderate,Ten Republican state attorneys general sued on Wednesday to stop the Biden administration's requirement that millions of U.S. health workers get vaccinated...,Negative
24,vaccine-mandates- Left,2,2,"De Blasio slams FDNY firefighters for faking sick over vaccine mandate, vows consequences",New York Daily News, Left," 

Mayor de Blasio on Monday attacked city firefighters for feigning illness to protest vaccination mandates — and promised consequences for those who...",Negative
25,vaccine-mandates- Lean Right,2,4,Hundreds of Thousands to Go on Four-Day Nationwide Strike Over Vaccine Mandates: Organizer,The Epoch Times, Lean Right,"A nationwide strike against vaccine mandates will take place from Nov. 8 to Nov. 11, according to the main organizer for the walkout, Leigh...",Negative
26,vaccine-mandates - moderate,2,3,"Florida, Center of COVID Mandate Resistance, Has Lowest Infections Levels in U.S.",Newsweek,moderate,Florida's coronavirus case rate has dropped to among the lowest in the country as the state's Republican leaders continue to fight vaccine mandates and other...,Negative
27,vaccine-mandates- Lean Left,2,1,Jair Bolsonaro is accused of crimes against humanity in Brazil,The Economist, Lean Left,"Few brazilians had high hopes for a Senate inquiry into the country’s disastrous handling of covid-19. But its thousand-page report, leaked this week, is...",Positive
28,vaccine-mandates- Right,2,5,Biden administration asks federal appeals court to lift order blocking COVID-19 vaccine mandate,Fox News (Online News), Right,The Biden administration is asking a federal court to lift an order that blocked its rule mandating that larger employers require workers to get...,Positive
29,vaccine-mandates - moderate,2,3,White House tells businesses to proceed with vaccine mandate despite court-ordered pause,CNBC,moderate,"The White House on Monday said businesses should move forward with President Joe Biden’s vaccine and testing requirements for private businesses, despite a...",Negative
30,economy-jobs- Lean Left,3,1,"U.S. Retail Sales Jump by Most Since March, Topping Forecasts",Bloomberg, Lean Left,"U.S. retail sales rose in October for a third month, signaling households continue to spend even with the fastest inflation in decades. 

The value of...",Negative
31,economy-jobs- Lean Right,3,4,Retail sales accelerate as supply chain crisis causes earlier start to holiday shopping season,Fox Business, Lean Right,Consumer spending accelerated in October as shoppers kicked off the holiday shopping season earlier than usual due to the supply chain bottlenecks. ...,Negative
32,economy-jobs - moderate,3,3,Retail sales rise faster than expected in October even as inflation pushes prices higher,CNBC,moderate,"U.S. shoppers accelerated their level of spending in October even as the prices of goods jumped at their fastest pace since the 1990s, the Commerce Department...",Negative
33,economy-jobs- Lean Left,3,1,"As supply lines strain, some corporations rewrite production playbook",Washington Post, Lean Left,"The pandemic caught Stanley Black & Decker midway through an overhaul of its 18-country supply chain.

Executives at the toolmaker’s New Britain, Conn.,...",Positive
34,economy-jobs- Lean Right,3,4,Thank the Government for the High Price of Holiday Meals,Reason, Lean Right,"As we head into the holidays, part of the season's cheer will be tarnished by the higher prices we'll all pay for holiday festivities. In fact, food, like many...",Negative
35,economy-jobs - moderate,3,3,"Despite Inflation, Retail Sales Jump More Than Expected",AllSides Headline Roundup,moderate,"Retail sales rose 1.7% in October amid record-breaking inflation and a supply chain crisis, according to Commerce Department data released Thursday.
Economic...",Negative
36,economy-jobs- Lean Left,3,1,Biden signs bipartisan infrastructure bill with Republicans on hand to celebrate win,ABC News (Online), Lean Left,"After months of negotiations, a massive bipartisan infrastructure bill that promises significant investments in every pocket of the country got...",Negative
37,economy-jobs- Lean Right,3,4,How Biden's infrastructure victory lap could disappoint Democrats,Washington Examiner, Lean Right,"President Joe Biden launched a publicity tour touting his newly passed $1.2 trillion bipartisan infrastructure bill, but political operatives in both...",Negative
38,economy-jobs - moderate,3,3,Warehouses are overwhelmed by America's shopping spree,NPR (Online News),moderate,"Doug Kiersey has been building, buying and leasing warehouses for almost 40 years. He's never seen a time like this.

""It's completely unprecedented,"" says...",Positive
39,economy-jobs- Lean Left,3,1,California sets gas price record for second day running,CNN Business, Lean Left,"California gas prices hit $4.682 per gallon on Monday, setting a new record for the state for a second day in a row, according to the American Automobile...",Positive
40,economy-jobs- Right,3,5,Psaki Says Inflation Is Being Used As A ‘Political Cudgel’,The Daily Wire, Right,"White House Press Secretary Jen Psaki said that inflation is being utilized as a “political cudgel” and predicted that it will decrease next year.

During a...",Negative
41,economy-jobs - moderate,3,3,"U.S. Shoppers Boosted Spending Last Month, Taking on Higher Prices",Wall Street Journal (News),moderate,"American consumers spent more at the start of the holiday shopping season, brushing off concerns about higher prices at retailers last month.

Sales at...",Negative
42,economy-jobs- Lean Left,3,1,A record number of Americans quit their jobs in September,CNN Business, Lean Left,A record 4.4 million Americans quit their jobs in September as the sheer volume of available jobs is empowering workers to have their pick....,Positive
43,economy-jobs- Lean Right,3,4,A record 4.4M Americans quit jobs as 'Great Resignation' gathers momentum,Fox Business, Lean Right,"The number of U.S. workers quitting their jobs surged to a record in September as openings remained near an all-time high. 

The...",Negative
44,economy-jobs - moderate,3,3,Who still thinks inflation is transitory?,Quartz,moderate,"Is inflation transitory? Executives are talking about it more than ever, but there’s little agreement on whether the spike in price increases will be sticky or...",Negative
45,kyle-rittenhouse- Lean Left,4,1,Jurors Hear Closing Arguments in Kyle Rittenhouse Trial,New York Times (News), Lean Left,A prosecutor hoping to send Kyle Rittenhouse to prison made closing arguments in his homicide trial on Monday. The jury was expected to begin weighing later in...,Negative
46,kyle-rittenhouse- Right,4,5,Rittenhouse defense criticizes prosecution's provocation charge in closing arguments: LIVE UPDATES,Fox News (Online News), Right,"Rittenhouse faces charges including first-degree intentional homicide, which is Wisconsin’s murder count; attempted first-degree intentional homicide;...",Negative
47,kyle-rittenhouse - moderate,4,3,Jury begins deliberating in Kyle Rittenhouse murder trial,Reuters,moderate,Sean Krajacic/ Pool via REUTERSThe judge in the Wisconsin murder trial of Kyle Rittenhouse instructed the jury on Tuesday to begin deliberating on the fate of...,Positive
48,kyle-rittenhouse- Lean Left,4,1,Kenosha hopes for calm as Kyle Rittenhouse trial nears end,NBC News (Online), Lean Left,"KENOSHA, Wis. — This city on Lake Michigan was quiet, calm and peaceful on Sunday, and many residents want it to remain that way as closing arguments in the...",Positive
49,kyle-rittenhouse- Right,4,5,"By the time Kyle Rittenhouse testified, he already won the case",Tucker Carlson, Right,"The Kyle Rittenhouse trial continued today in Wisconsin. In a move that surprised lawyers everywhere, Rittenhouse took the stand in his own defense. That...",Positive
50,kyle-rittenhouse - moderate,4,3,Watch live: Closing arguments are underway in the Kyle Rittenhouse homicide trial,NPR (Online News),moderate,"Prosecutors and defense lawyers are making their closing arguments in the criminal trial of Kyle Rittenhouse, the 18-year-old who is charged with homicide...",Negative
51,kyle-rittenhouse- Left,4,2,Kyle Rittenhouse Doesn’t Need to Be Acquitted to Win,Mother Jones, Left,"Kyle Rittenhouse was 17 when he killed two Black Lives Matter protesters in Kenosha, Wisconsin, and wounded another. Rittenhouse, who is now 18, has been...",Negative
52,kyle-rittenhouse- Right,4,5,Judge Shuts Down Rittenhouse Prosecutor’s Questioning For Possible ‘Grave Constitutional Violation’,The Daily Caller, Right,Judge Bruce Schroeder shut down the Kyle Rittenhouse prosecutor’s questioning for a possible “grave Constitutional violation” Wednesday after the prosecution...,Negative
53,kyle-rittenhouse - moderate,4,3,Judge dismisses charge against U.S. teen Rittenhouse for possessing rifle,Reuters,moderate,A Wisconsin judge in the murder trial of Kyle Rittenhouse on Monday dismissed a misdemeanor charge against the U.S. teenager for illegally possessing the AR-15...,Positive
54,kyle-rittenhouse- Left,4,2,What Kyle Rittenhouse's tears reveal about America,CNN (Opinion), Left,"Despite last year's demonstrations supporting racial justice and substantive efforts at political reform, the system that devalues Black lives remains largely...",Negative
55,kyle-rittenhouse- Right,4,5,"Trial Explodes: Kyle Rittenhouse Cries on Stand, Judge Berates Prosecutor",National Review, Right,"Kyle Rittenhouse broke down sobbing on the stand while testifying in his own defense on Wednesday, prompting the judge to call a ten-minute recess....",Negative
56,kyle-rittenhouse - moderate,4,3,Defense rests its case at murder trial of Kyle Rittenhouse,Associated Press,moderate,"The defense rested its case Thursday at the murder trial of Kyle Rittenhouse, setting the stage for closing arguments in the shootings that left Americans...",Negative
57,kyle-rittenhouse- Left,4,2,Judge In Kyle Rittenhouse Trial Called Out For Strange Joke About 'Asian Food',HuffPost, Left,"The judge presiding over the Kyle Rittenhouse murder trial in Kenosha, Wisconsin, made a joke Thursday that critics slammed as racially charged and...",Negative
58,kyle-rittenhouse- Right,4,5,Kyle Rittenhouse Doesn’t Need Reasonable Doubt. His Prosecutors Do,The Federalist, Right,Prosecutors in the murder trial of Kyle Rittenhouse so far have a case that comes down to this: What if the things our witnesses say they saw and...,Positive
59,kyle-rittenhouse - moderate,4,3,Rittenhouse: ‘I didn’t do anything wrong. I defended myself’,Associated Press,moderate,Kyle Rittenhouse testified Wednesday he was under attack when he killed two men and wounded a third with his rifle during a chaotic night of protests in...,Negative
60,inflation- Lean Left,5,1,"U.S. Retail Sales Jump by Most Since March, Topping Forecasts",Bloomberg, Lean Left,"U.S. retail sales rose in October for a third month, signaling households continue to spend even with the fastest inflation in decades. 

The value of...",Negative
61,inflation- Lean Right,5,4,Retail sales accelerate as supply chain crisis causes earlier start to holiday shopping season,Fox Business, Lean Right,Consumer spending accelerated in October as shoppers kicked off the holiday shopping season earlier than usual due to the supply chain bottlenecks. ...,Negative
62,inflation - moderate,5,3,Retail sales rise faster than expected in October even as inflation pushes prices higher,CNBC,moderate,"U.S. shoppers accelerated their level of spending in October even as the prices of goods jumped at their fastest pace since the 1990s, the Commerce Department...",Negative
63,inflation- Lean Left,5,1,Inflation emerges as a 2022 campaign dividing line,Politico, Lean Left,Tight congressional races across the nation are quickly turning into battlegrounds over a key economic question: whether President Joe Biden’s spending agenda...,Negative
64,inflation- Lean Right,5,4,Thank the Government for the High Price of Holiday Meals,Reason, Lean Right,"As we head into the holidays, part of the season's cheer will be tarnished by the higher prices we'll all pay for holiday festivities. In fact, food, like many...",Negative
65,inflation - moderate,5,3,Who still thinks inflation is transitory?,Quartz,moderate,"Is inflation transitory? Executives are talking about it more than ever, but there’s little agreement on whether the spike in price increases will be sticky or...",Negative
66,inflation- Lean Left,5,1,California sets gas price record for second day running,CNN Business, Lean Left,"California gas prices hit $4.682 per gallon on Monday, setting a new record for the state for a second day in a row, according to the American Automobile...",Positive
67,inflation- Right,5,5,Psaki Says Inflation Is Being Used As A ‘Political Cudgel’,The Daily Wire, Right,"White House Press Secretary Jen Psaki said that inflation is being utilized as a “political cudgel” and predicted that it will decrease next year.

During a...",Negative
68,inflation - moderate,5,3,Most Americans Are Afraid Of Inflation,FiveThirtyEight,moderate,"You can see it at the grocery store, the gas station and your heating bill (though, mercifully, not at the liquor store): Prices are getting higher. Since...",Negative
69,inflation- Left,5,2,Democrats have no plan to fight housing inflation,Vox, Left,"Inflation has taken center stage, and the White House desperately wants its signature bill to be the solution.

On Wednesday, the Bureau of Labor...",Negative
70,inflation- Right,5,5,IRS Adjusts Tax Brackets As Inflation Hits 30-Year High,The Daily Wire, Right,The Internal Revenue Service revealed that it would adjust federal income tax brackets and deductions in light of rising price levels in the United States....,Negative
71,inflation - moderate,5,3,Inflation,The Flip Side,moderate,"“Another jump in consumer prices in September sent inflation up 5.4% from where it was a year ago, matching the largest increase since 2008… The...",Negative
72,inflation- Lean Left,5,1,China has a big inflation problem and it's pushing up prices worldwide,CNN Business, Lean Left,"The cost of goods leaving China's factories surged by another record rate last month, and there are increasing signs that consumers are starting to feel the...",Negative
73,inflation- Right,5,5,Biden’s Inflation Problem,National Review, Right,There’s no way to spin it: Wednesday’s inflation report is bad news for the country economically and for the president politically. The year-...,Negative
74,inflation - moderate,5,3,Inflation at 30-year high. Where it goes next is (partly) up to you.,Christian Science Monitor,moderate,Many Americans have never lived through severe inflation. Here’s why the answer to today’s worrisome price spike may revolve around consumer and business...,Negative
75,white-house- Lean Left,6,1,Biden-successor chatter grows and Harris isn’t scaring off anyone,Politico, Lean Left,President Joe Biden says he intends to run for reelection in 2024. But not all Democrats believe him. Nor are they convinced his No. 2 would be the clear heir...,Negative
76,white-house- Lean Right,6,4,"Kamala Harris sidelined amid growing tensions with Biden, insiders say",New York Post (News), Lean Right,Vice President Kamala Harris feels increasingly isolated inside the White House as her approval ratings plummet — with...,Negative
77,white-house - moderate,6,3,White House Press Secretary Jen Psaki defended Kamala Harris after a report about 'exasperation and dysfunction' in the vice president's office,Insider,moderate,"White House Press Secretary Jen Psaki tweeted in defense of Vice President Kamala Harris hours after a critical report alleged ""exasperation and dysfunction""...",Negative
78,white-house- Lean Left,6,1,Biden to host leaders of Canada and Mexico at White House next week,CBS News (Online), Lean Left,President Biden will host Canadian Prime Minister Justin Trudeau and Mexican President Andrés Manuel López Obrador at the White House next week for the first...,Positive
79,white-house- Right,6,5,Psaki Says Inflation Is Being Used As A ‘Political Cudgel’,The Daily Wire, Right,"White House Press Secretary Jen Psaki said that inflation is being utilized as a “political cudgel” and predicted that it will decrease next year.

During a...",Negative
80,white-house - moderate,6,3,West Wing Reportedly Frustrated with VP Harris,AllSides Headline Roundup,moderate,Reports across the spectrum have detailed frustration within the White House over purported dysfunction with Vice President Kamala Harris and her team....,Positive
81,white-house- Lean Left,6,1,"Biden Rejects $450,000 Payments for Separated Migrants",New York Times (News), Lean Left,President Biden on Wednesday said migrants separated from family members at the border would not receive hundreds of thousands of dollars for the damage...,Negative
82,white-house- Right,6,5,Psaki claims Biden doesn’t spend much time thinking about ‘Let’s Go Brandon’ rallying cry,Fox News (Online News), Right,"White House press secretary Jen Psaki claimed President Biden doesn’t ""spend much time focused"" on the anti-Biden rallying cry ""Let’s Go...",Negative
83,white-house - moderate,6,3,White House unveils effort to address military toxic exposures,Axios,moderate,"The White House on Thursday announced a new strategy to identify and treat health issues in veterans who may have been exposed to chemical, physical...",Negative
84,white-house- Left,6,2,"'Let's go Brandon,' explained",CNN (Online News), Left,"On Friday night, a Southwest Airlines pilot allegedly said ""Let's go Brandon"" over the plane intercom, causing a stir on board and prompting an investigation...",Positive
85,white-house- Right,6,5,Biden calls Satchel Paige 'the great negro' in latest gaffe,Fox News (Online News), Right,"President Biden referred to the late baseball player Satchel Paige as ""the great negro"" before correcting himself during his Veterans Day address at...",Positive
86,white-house - moderate,6,3,"Biden Denies Plan For $450,000 Payments To Separated Families: 'Not Gonna Happen'",Forbes,moderate,President Joe Biden dismissed a “garbage” Wall Street Journal report from last week that alleged his administration was considering paying about...,Negative
87,white-house- Lean Left,6,1,"Family Members Separated at Border May Each Get Up to $450,000",New York Times (News), Lean Left,Migrant families separated at the border by the Trump administration may be eligible to each receive hundreds of thousands of dollars in compensation for the...,Negative
88,white-house- Lean Right,6,4,WH: Biden now ‘perfectly comfortable’ with migrant payouts — after calling $450K report ‘garbage’,New York Post (News), Lean Right,President Biden is “perfectly comfortable” with cash payouts to migrant families whose members were detained separately after illegally crossing the US-Mexico...,Positive
89,white-house - moderate,6,3,"Biden Dismisses Idea Of Paying $450,000 To Immigrant Families Separated At Border",AllSides Headline Roundup,moderate,President Joe Biden on Wednesday dismissed a report from The Wall Street Journal that suggested his administration is considering paying immigrant families who...,Negative
90,facts-and-fact-checking- Lean Left,7,1,Deficit ‘prediction’ for infrastructure bill varies widely from estimates,PolitiFact, Lean Left,"The day after the House passed an infrastructure bill and sent it to President Joe Biden to be signed, conservative podcast host Dan Bongino attacked...",Negative
91,facts-and-fact-checking- Right,7,5,Joe Biden ‘Got a Handle on COVID’,Washington Free Beacon, Right,"CLAIM:

""Biden got a handle on COVID.""

— David Corn, D.C. bureau chief of Mother Jones

The lib reporter made the assertion on Twitter in...",Negative
92,facts-and-fact-checking - moderate,7,3,Electric Vehicle Tax Credits in Democratic Plan,FactCheck.org,moderate,"The House’s current Build Back Better plan calls for extending a $7,500 tax credit for the purchase of electric vehicles, and it includes an additional $4,500...",Negative
93,facts-and-fact-checking- Left,7,2,Deceptive Republican attack ad uses images from Trump presidency to depict 'chaos' under Biden,CNN Fact Check, Left,A new national television ad from House Republicans' campaign arm deceptively uses images of events that occurred during former President Donald Trump's time...,Positive
94,facts-and-fact-checking- Right,7,5,Democrat Cindy Axne Falsely Claims Biden’s $1.75T Agenda Will Cost Iowans ‘Literally Nothing’,Breitbart Fact Check, Right,"CLAIM: Democrat Rep. Cindy Axne (D-IA) claimed last week that President Joe Biden’s Build Back Better agenda will cost Iowans “literally nothing.”

VERDICT:...",Negative
95,facts-and-fact-checking - moderate,7,3,Can Colorado Hospitals Turn Away Unvaccinated Patients?,The Dispatch Fact Check,moderate,"An article from Red Voice Media, self-described as being owned by “patriots” and fighting “false narratives against conservatives,” claims that...",Negative
96,facts-and-fact-checking- Lean Left,7,1,"Maricopa County Audit Did Not Find 712,152 New Trump Votes",Snopes, Lean Left,"Since June 23, 2021, a political Facebook post has been shared at least tens of thousands of times. The screenshot in the post misrepresented the...",Positive
97,facts-and-fact-checking- Right,7,5,For Whom Do the Covid “Fact Checkers” Really Work?,Brownstone Institute, Right,"There are two types of COVID19 survivors— those who have documented recovery from sars-cov-2 (either PCR, antigen or serology + tests) or those who have self-...",Negative
98,facts-and-fact-checking - moderate,7,3,Aaron Rodgers’ Inaccurate COVID-19 Claims,FactCheck.org,moderate,"Aaron Rodgers, the star quarterback of the Green Bay Packers, made headlines when he contracted COVID-19 and then defended his decision not to get vaccinated...",Negative
99,facts-and-fact-checking- Lean Left,7,1,Canceling student loan debt would cost the federal government billions,USA TODAY, Lean Left,"Since President Joe Biden took office, his administration has canceled billions of dollars in student loan debt. Most recently, in early October...",Negative
100,facts-and-fact-checking- Lean Right,7,4,Beware People Trying to Dismiss Jack Dorsey's Inflation Analysis as Disinformation,Reason, Lean Right,"I hope you squirreled away that cool 16 cents you saved on your Fourth of July barbeque this year. Across the board, prices seem to be going up...",Positive
101,facts-and-fact-checking - moderate,7,3,Fact Checking McAuliffe’s Claim That Youngkin Wants to Ban Books by Black Authors,The Dispatch Fact Check,moderate,The Democratic nominee in the Virginia gubernatorial race Terry McAuliffe has accused his Republican opponent Glenn Youngkin of “want[ing] to ban books by...,Negative
102,facts-and-fact-checking- Lean Left,7,1,Unpacking the noise around Dr. Anthony Fauci and beagle experiments,PolitiFact, Lean Left,"If you’ve seen media reports or social media postings about beagle puppies and Dr. Anthony Fauci, the White House’s chief medical adviser, you might be...",Positive
103,facts-and-fact-checking- Lean Right,7,4,Journalist Butchery of School Board Protests Upending Politics in Virginia and Elsewhere,Reason, Lean Right,The media pile-on atop Sen. Ted Cruz (R–Texas) for his comments Wednesday characterizing mock Nazi salutes at school board meetings as First...,Positive
104,facts-and-fact-checking - moderate,7,3,Biden Botches Virginia Election History,FactCheck.org,moderate,"Seeking to deflect the significance of Democrat Terry McAuliffe’s loss in the Virginia governor’s race to Republican Glenn Youngkin, President Joe Biden...",Negative
